Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s)
7.8,7.942318344,105,206,252,0.16,1.5
9.4,7.942009633,286,233,376,0.16,3.1
11.1,8.595842267,211,267,376,0.16,0
10.6,8.896119683,436,208,418,0.16,3.6
10.6,9.148962789,51,158,178,0.16,2.1
11.1,9.942520622,351,164,261,0.16,2.6
12.2,10.32086459,0,0,0,0.16,3.6
11.7,9.690440172,0,0,0,0.16,0
11.1,9.038435072,0,0,0,0.16,1.5
10.6,8.750301483,0,0,0,0.16,2.6
11.1,8.549617889,0,0,0,0.16,0
11.7,9.060355261,0,0,0,0.16,2.6
11.7,9.2934113,0,0,0,0.16,0
10.6,9.09318585,0,0,0,0.16,2.1
10,8.945166161,0,0,0,0.16,1.5
10,8.901690406,0,0,0,0.16,2.1
9.4,8.928021322,0,0,0,0.16,0
8.9,8.896703372,0,0,0,0.16,1.5
9.4,8.89631585,0,0,0,0.16,0
10,8.901193333,0,0,0,0.16,0
10,9.178429561,0,0,0,0.16,0
9.4,9.61112005,19,2,2,0.16,1.5
10,10.14674237,0,53,53,0.16,3.1
10,9.767884194,399,145,276,0.16,4.6
11.7,10.35033043,0,64,64,0.16,0
11.7,10.85647706,48,219,243,0.16,2.6
11.1,11.53206648,12,197,203,0.16,2.6
11.7,12.19774509,98,237,285,0.16,1.5
13.3,11.34826502,0,148,148,0.16,0
12.8,11.39281514,0,96,96,0.16,0
12.8,12.05814412,0,0,0,0.16,3.1
11.7,12.24731513,0,0,0,0.16,2.1
13.3,12.02138971,0,0,0,0.16,3.1
13.3,11.21617486,0,0,0,0.16,3.1
12.2,11.84055029,0,0,0,0.16,2.6
13.9,12.44537908,0,0,0,0.16,8.8
13.9,12.0928611,0,0,0,0.16,8.8
13.9,11.62288544,0,0,0,0.16,5.7
13.3,11.79930217,0,0,0,0.16,5.2
13.3,11.66499303,0,0,0,0.16,5.7
12.8,11.46290106,0,0,0,0.16,5.2
12.8,11.46298383,0,0,0,0.16,3.6
12.2,11.46284569,0,0,0,0.16,2.1
12.2,11.46276237,0,0,0,0.16,1.5
12.2,12.07703682,0,0,0,0.16,2.6
12.2,11.83146704,0,1,1,0.16,2.6
12.2,11.72781598,0,49,49,0.16,2.6
12.2,12.23483621,146,147,195,0.16,3.6
13.9,12.44596701,123,209,263,0.16,2.1
14.4,13.20179537,18,199,208,0.16,3.6
14.4,13.25864738,0,142,142,0.16,4.6
13.3,12.41906416,0,79,79,0.16,5.2
12.8,11.54467373,0,74,74,0.16,4.1
12.2,11.22937001,0,114,114,0.16,3.6
12.2,10.90369696,0,0,0,0.16,5.7
11.7,10.46828123,0,0,0,0.16,3.1
11.1,10.31999249,0,0,0,0.16,0
10.6,10.32043024,0,0,0,0.16,3.1
11.1,10.32115439,0,0,0,0.16,2.1
11.7,9.994413917,0,0,0,0.16,1.5
11.1,10.43410845,0,0,0,0.16,0
11.1,10.81895342,0,0,0,0.16,0
11.1,10.81895342,0,0,0,0.16,0
10.6,10.50947206,0,0,0,0.16,3.1
10.6,10.32275373,0,0,0,0.16,2.1
10.6,10.32347738,0,0,0,0.16,1.5
11.7,10.32391132,0,0,0,0.16,4.1
11.1,10.63515467,0,0,0,0.16,0
11.7,11.48814893,0,0,0,0.16,4.1
11.1,11.88367318,2,2,2,0.16,3.6
12.2,12.11930267,25,66,71,0.16,3.6
13.9,12.25488644,0,105,105,0.16,2.6
14.4,12.19748589,0,134,134,0.16,4.1
14.4,13.05940607,95,241,289,0.16,4.1
14.4,13.60772886,0,160,160,0.16,4.6
14.4,14.34173536,0,132,132,0.16,4.6
13.9,14.77646278,0,147,147,0.16,6.7
13.9,14.77617796,21,126,132,0.16,5.7
13.3,13.19415911,0,0,0,0.16,2.6
12.8,12.25390882,0,0,0,0.16,4.1
12.8,11.94062391,0,0,0,0.16,5.7
12.2,11.75188653,0,0,0,0.16,6.7
12.8,11.43337415,0,0,0,0.16,8.2
12.8,11.24245451,0,0,0,0.16,5.7
12.8,11.24404576,0,0,0,0.16,6.2
12.8,11.56606091,0,0,0,0.16,6.2
12.8,11.75779158,0,0,0,0.16,5.2
12.8,11.48465788,0,0,0,0.16,5.7
13.3,11.31596031,0,0,0,0.16,4.6
13.3,11.01410671,0,0,0,0.16,4.1
13.3,11.49604594,0,0,0,0.16,3.6
13.3,12.12765022,0,0,0,0.16,1.5
12.2,12.03397196,0,0,0,0.16,2.1
12.8,12.24055113,0,1,1,0.16,1.5
12.8,12.44970077,0,21,21,0.16,2.6
12.8,12.70525888,0,48,48,0.16,2.1
13.3,12.85207036,0,70,70,0.16,3.6
12.8,12.85115718,0,110,110,0.16,4.1
11.7,12.85024373,121,250,314,0.16,3.1
12.2,13.45207802,0,119,119,0.16,4.1
12.8,14.02514418,0,147,147,0.16,2.6
13.3,14.14520994,215,163,225,0.16,1.5
11.7,13.34074796,0,0,0,0.16,2.1
11.7,13.21175982,0,0,0,0.16,0
11.7,13.0660154,0,0,0,0.16,2.6
12.2,12.84668689,0,0,0,0.16,2.6
12.2,12.84668689,0,0,0,0.16,1.5
12.8,12.84668689,0,0,0,0.16,1.5
13.3,12.24393861,0,0,0,0.16,4.6
12.8,12.11745473,0,0,0,0.16,2.1
12.8,12.25186606,0,0,0,0.16,3.1
12.2,12.25204353,0,0,0,0.16,5.2
13.3,12.62474549,0,0,0,0.16,3.6
13.3,12.47615092,0,0,0,0.16,3.6
13.3,12.02494988,0,0,0,0.16,2.6
12.8,11.88228918,0,0,0,0.16,3.6
12.2,12.48503804,0,0,0,0.16,3.6
12.2,13.21144673,0,1,1,0.16,0
11.7,13.42903591,0,28,28,0.16,0
13.9,13.42912009,6,122,124,0.16,2.6
14.4,13.29447679,6,153,156,0.16,6.2
13.3,13.45508608,12,202,208,0.16,3.1
16.7,13.60307414,0,172,172,0.16,5.7
15.6,13.83183268,0,79,79,0.16,5.7
14.4,13.16342802,6,166,169,0.16,5.2
13.9,12.55541607,0,47,47,0.16,4.1
14.4,12.69886383,0,0,0,0.16,7.2
13.9,12.84484392,0,0,0,0.16,6.7
13.3,13.21037817,0,0,0,0.16,4.6
12.2,13.42836475,0,0,0,0.16,4.1
13.3,13.36703236,0,0,0,0.16,7.7
13.9,13.39159874,0,0,0,0.16,6.2
13.9,12.81444766,0,0,0,0.16,7.2
13.3,12.50059211,0,0,0,0.16,5.7
13.9,12.70547699,0,0,0,0.16,5.7
13.9,12.92821747,0,0,0,0.16,8.2
13.3,12.65446662,0,0,0,0.16,7.2
13.3,12.44568954,0,0,0,0.16,8.2
13.3,12.44546124,0,0,0,0.16,8.8
13.3,10.24415944,0,0,0,0.16,6.7
13.3,10.98978632,0,0,0,0.16,5.7
12.8,12.02305949,0,1,1,0.16,3.1
13.3,12.11560206,0,25,25,0.16,4.1
13.3,12.38189811,0,48,48,0.16,5.7
13.9,12.33298475,0,70,70,0.16,5.2
12.8,12.38189811,0,81,81,0.16,7.7
13.3,11.73584177,0,86,86,0.16,6.7
12.2,11.66525115,0,79,79,0.16,11.3
12.2,12.23549595,0,81,81,0.16,10.8
13.3,12.33245921,0,111,111,0.16,6.7
13.3,12.2494601,0,0,0,0.16,5.7
12.8,12.19357075,0,0,0,0.16,6.7
12.8,12.21597726,0,0,0,0.16,7.2
12.8,12.02273184,0,0,0,0.16,7.7
12.2,11.21768478,0,0,0,0.16,7.2
12.2,10.81522435,0,0,0,0.16,7.2
12.2,10.53317521,0,0,0,0.16,8.2
12.2,10.00480204,0,0,0,0.16,7.7
11.7,9.843963522,0,0,0,0.16,6.7
11.7,9.582270472,0,0,0,0.16,7.2
11.7,9.694570133,0,0,0,0.16,7.2
11.1,9.585217383,0,0,0,0.16,5.2
11.1,9.420948822,0,0,0,0.16,4.6
10.6,9.694570133,0,0,0,0.16,3.1
10,9.531590578,0,0,0,0.16,1.5
10,9.310844606,70,3,4,0.16,2.6
11.1,9.310844606,384,52,125,0.16,2.1
12.2,9.941342572,293,149,249,0.16,1.5
12.8,10.00545122,29,180,193,0.16,1.5
12.8,9.814526906,327,246,416,0.16,4.6
13.3,9.96279585,109,255,314,0.16,5.7
13.3,10.19393866,497,210,461,0.16,5.2
13.3,10.27856663,158,211,278,0.16,5.7
12.8,10.27856663,55,140,156,0.16,4.6
12.8,10.21166296,0,87,87,0.16,3.1
11.7,10.02370888,0,0,0,0.16,3.1
11.1,9.888486789,0,0,0,0.16,3.6
11.1,9.865140628,0,0,0,0.16,0
10.6,9.817554622,0,0,0,0.16,1.5
10.6,9.788838372,0,0,0,0.16,0
10.6,9.843288811,0,0,0,0.16,2.1
10,9.861997933,0,0,0,0.16,1.5
10.6,9.861684661,0,0,0,0.16,2.1
10.6,9.581420256,0,0,0,0.16,3.1
10.6,9.420487283,0,0,0,0.16,2.1
10.6,9.093050894,0,0,0,0.16,0
10,8.9000067,0,0,0,0.16,0
10,8.629333689,0,0,0,0.16,0
10,8.831785289,0,0,0,0.16,1.5
10.6,9.512102572,51,3,4,0.16,0
10.6,9.488523383,56,72,83,0.16,1.5
11.1,9.62401,79,155,182,0.16,3.6
12.2,10.12668651,18,180,188,0.16,3.6
13.9,10.29803961,0,173,173,0.16,5.7
13.9,10.0055783,12,221,227,0.16,8.2
12.8,10.09921938,0,165,165,0.16,8.8
11.1,11.06885899,63,206,233,0.16,7.2
11.7,11.03618184,0,119,119,0.16,9.8
11.7,11.02870163,0,55,55,0.16,5.2
12.2,10.97046034,0,0,0,0.16,5.7
12.2,10.81242012,0,0,0,0.16,6.2
12.2,11.39281514,0,0,0,0.16,6.7
12.8,11.74103417,0,0,0,0.16,5.7
13.3,11.74162053,0,0,0,0.16,6.2
13.3,10.8478811,0,0,0,0.16,9.3
13.3,10.31460169,0,0,0,0.16,11.3
11.1,11.05402262,0,0,0,0.16,7.7
11.1,11.46200278,0,0,0,0.16,3.6
10.6,10.84794549,0,0,0,0.16,4.6
10,10.17238209,0,0,0,0.16,6.2
10,9.627910328,0,0,0,0.16,5.2
8.9,8.799604022,0,0,0,0.16,4.1
9.4,9.056060806,0,0,0,0.16,3.6
8.9,9.648934783,64,4,6,0.16,4.1
9.4,9.554830217,0,29,29,0.16,3.1
9.4,9.409747828,0,62,62,0.16,4.6
9.4,8.778254933,0,113,113,0.16,5.7
10,7.861239722,0,144,144,0.16,3.6
10.6,8.392622317,0,92,92,0.16,3.1
10.6,8.908232494,454,248,480,0.16,3.1
11.1,9.148228172,177,208,284,0.16,5.7
10,8.73899725,424,160,290,0.16,6.2
8.9,7.551012033,171,104,129,0.16,7.2
8.3,6.746627589,0,0,0,0.16,5.2
8.3,6.02367895,0,0,0,0.16,6.7
7.2,5.144116889,0,0,0,0.16,4.6
7.2,4.7326208,0,0,0,0.16,5.7
6.7,4.672547278,0,0,0,0.16,2.6
6.7,4.751371994,0,0,0,0.16,2.1
6.7,4.812416656,0,0,0,0.16,3.1
5.6,4.529601244,0,0,0,0.16,2.1
